Date,Company Name,Research by,Reco Price,Target
"May 23, 2025",Greenpanel Ind,Prabhudas Lilladher,255.85,310 (17.3%)
"May 23, 2025",Sun Pharma,Prabhudas Lilladher,1683.25,2000 (20.1%)
"May 23, 2025",Divis Labs,Deven Choksey,6480.7,7518 (14%)
"May 22, 2025",Colgate,Prabhudas Lilladher,2486.4,2654 (10.4%)
"May 22, 2025",ONGC,Prabhudas Lilladher,241.55,276 (9.5%)
"May 22, 2025",ITC,Prabhudas Lilladher,426.1,538 (28.5%)
"May 22, 2025",Aster DM Health,Prabhudas Lilladher,569.65,620 (10.9%)
"May 22, 2025",IndusInd Bank,Prabhudas Lilladher,785.1,780 (-7.1%)
"May 23, 2025",IndusInd Bank,LKP Securities Limited,793.35,737 (-12.2%)
"May 22, 2025",Emami,Sharekhan,603.8,745 (34.7%)
"May 22, 2025",Embassy Office,Geojit Financial Services,389.84,425 (9.4%)
"May 22, 2025",Colgate,ICICI Securities,2486.4,1800 (-25%)
"May 22, 2025",NHPC,ICICI Securities,87.51,72 (-12.5%)
"May 22, 2025",IndusInd Bank,ICICI Securities,785.1,650 (-22.6%)
"May 22, 2025",Interglobe Avi,ICICI Securities,5502.7,6377 (18.3%)
"May 22, 2025",Power Grid Corp,ICICI Securities,291,361 (23.1%)
"May 22, 2025",Solar Ind,ICICI Securities,15019.85,16500 (-2.9%)
"May 22, 2025",Mankind Pharma,Motilal Oswal,2437.85,2910 (27.1%)
"May 22, 2025",Max Healthcare,Prabhudas Lilladher,1149.45,1300 (7.1%)
"May 22, 2025",Astral Ltd,Prabhudas Lilladher,1442.9,1630 (4.5%)
"May 22, 2025",Fortis Health,Prabhudas Lilladher,724.1,785 (3.9%)
"May 22, 2025",Electronics Mar,LKP Securities Limited,125,151 (1.2%)
"May 21, 2025",Power Grid Corp,Sharekhan,296.15,350 (19.4%)
"May 21, 2025",Dabur India,Sharekhan,481.85,570 (22%)
"May 21, 2025",Dixon Technolog,Anand Rathi,15607.7,18775 (33.6%)
"May 21, 2025",IndusInd Bank,Motilal Oswal,771.1,650 (-22.6%)
"May 21, 2025",Power Finance,Motilal Oswal,412.75,485 (18.5%)
"May 21, 2025",Bharat Elec,Anand Rathi,382.95,450 (10.2%)
"May 21, 2025",Jyothy Labs,Sharekhan,338.95,395 (23.5%)
"May 20, 2025",Amber Enterpris,Sharekhan,6436.75,8142 (24.8%)
"May 20, 2025",Godrej Consumer,Sharekhan,1261.5,1432 (20.3%)
"May 20, 2025",Bharat Elec,Sharekhan,363.7,430 (5.3%)
"May 30, 2025",Transport Corp,ICICI Securities,1123.4,1370 (23.1%)
"May 30, 2025",Lupin,ICICI Securities,1958.4,2110 (8.3%)
"May 21, 2025",CESC,Sharekhan,171.9,195 (19.3%)
"May 19, 2025",Divis Labs,ICICI Securities,6583.65,5610 (-14.8%)
"May 18, 2025",NCC,ICICI Securities,226.7,262 (18.3%)
"May 18, 2025",Inox India,ICICI Securities,1160.55,1400 (18.3%)
"May 18, 2025",BHEL,ICICI Securities,250.35,324 (29.3%)
"May 17, 2025",South Ind Bk,ICICI Securities,27.58,37 (26.6%)
"May 16, 2025",Abbott India,ICICI Securities,30560.85,35750 (13%)
"May 16, 2025",Sagility India,ICICI Securities,46.77,60 (49.4%)
"May 16, 2025",CESC,ICICI Securities,165.2,198 (21.1%)
"May 16, 2025",Hitachi Energy,ICICI Securities,15796.85,18000 (-3.6%)
"May 16, 2025",JSW Energy,ICICI Securities,504.05,612 (22.5%)
"May 16, 2025",Syrma SGS,ICICI Securities,529.75,611 (20.5%)
"May 16, 2025",V-Guard Ind,ICICI Securities,374.9,420 (11.4%)
"May 16, 2025",CG Consumer,ICICI Securities,351.4,420 (21.8%)
"May 15, 2025",Nexus Select,ICICI Securities,132.88,161 (14.5%)
"May 15, 2025",Apollo Tyres,ICICI Securities,480.65,555 (26.1%)
"May 15, 2025",-,ICICI Securities,"",280
"May 15, 2025",ASK Auto,ICICI Securities,439.45,535 (13.5%)
"May 15, 2025",Shree Cements,ICICI Securities,31385.35,35330 (22.3%)
"May 15, 2025",Eicher Motors,ICICI Securities,5471.85,5600 (1.3%)
"May 15, 2025",Bharti Airtel,ICICI Securities,1866.8,1900 (-1.8%)
"May 14, 2025",Bharti Hexacom,ICICI Securities,1703.2,1660 (-8.7%)
"May 24, 2025",Page Industries,Motilal Oswal,47521.95,57500 (27.9%)
"May 22, 2025",JSW Energy,Motilal Oswal,499.85,592 (18.5%)
"May 21, 2025",DLF,ICICI Securities,775.35,954 (11.6%)
"May 21, 2025",Zydus Life,ICICI Securities,889.75,910 (-4.9%)
"May 21, 2025",Whirlpool,ICICI Securities,1265.9,980 (-27.4%)
"May 21, 2025",Hindalco,ICICI Securities,662.85,770 (18.6%)
"May 21, 2025",Bharat Elec,ICICI Securities,382.95,420 (2.8%)
"May 21, 2025",Torrent Pharma,Prabhudas Lilladher,3288.3,3670 (15.8%)
"May 21, 2025",Zydus Life,Prabhudas Lilladher,889.75,970 (1.3%)
"May 21, 2025",Hindalco,Prabhudas Lilladher,662.85,724 (11.5%)
"May 20, 2025",Petronet LNG,ICICI Securities,316.75,250 (-15.3%)
"May 20, 2025",ACME Solar,ICICI Securities,237.7,350 (41.3%)
"May 20, 2025",Siemens,Prabhudas Lilladher,3130.75,3497 (8.7%)
"May 20, 2025",DOMS Industries,Prabhudas Lilladher,2545,3087 (25.8%)
"May 20, 2025",Petronet LNG,Prabhudas Lilladher,316.75,292 (-1.1%)
"May 15, 2025",Hitachi Energy,Motilal Oswal,15557.6,12500 (-33%)
"May 15, 2025",Lupin,Motilal Oswal,2071.4,2200 (12.9%)
"May 15, 2025",Apollo Tyres,Motilal Oswal,480.65,554 (25.9%)
