Date,Company Name,Research by,Reco Price,Target
"May 14, 2025",Bharti Airtel,Prabhudas Lilladher,1834.4,1988 (2.6%)
"May 14, 2025",Chalet Hotels,Prabhudas Lilladher,918.95,1130 (25.8%)
"May 14, 2025",Tata Steel,Prabhudas Lilladher,155.3,176 (15.8%)
"May 14, 2025",Krishna Inst.,Prabhudas Lilladher,640.4,725 (14.6%)
"May 14, 2025",Cipla,Prabhudas Lilladher,1495.4,1730 (15.3%)
"May 14, 2025",SRF,Prabhudas Lilladher,2881.95,3069 (1.2%)
"May 14, 2025",Westlife Food,Prabhudas Lilladher,697.4,738 (5.5%)
"May 14, 2025",Carborundum,Prabhudas Lilladher,961.4,1028 (9.6%)
"May 13, 2025",-,Prabhudas Lilladher,"",1720
"May 13, 2025",Triveni Turbine,Prabhudas Lilladher,550.6,772 (28.1%)
"May 12, 2025",Relaxo Footwear,ICICI Securities,420.55,375 (-7.6%)
"May 12, 2025",Fine Organics,ICICI Securities,4173.7,3660 (-19.4%)
"May 12, 2025",Triveni Turbine,ICICI Securities,559.95,700 (16.2%)
"May 12, 2025",Birla Corp,ICICI Securities,1270.25,1540 (21.6%)
"May 12, 2025",Pidilite Ind,Prabhudas Lilladher,3075.9,3428 (15.9%)
"May 12, 2025",Britannia,Prabhudas Lilladher,5608.7,5941 (6.3%)
"May 10, 2025",Jindal Stainles,Prabhudas Lilladher,579.4,678 (1.1%)
"May 10, 2025",Cera Sanitary,Prabhudas Lilladher,5827.45,7319 (10.8%)
"May 06, 2025",HDFC Bank,Geojit Financial Services,1930.55,2192 (11.5%)
"May 13, 2025",ABB India,Prabhudas Lilladher,5633.8,6851 (14.7%)
"May 13, 2025",Fine Organics,Prabhudas Lilladher,4303.95,4930 (8.5%)
"May 13, 2025",Bank of Baroda,Sharekhan,232.75,260 (11%)
"May 13, 2025",PVR INOX,Prabhudas Lilladher,946.55,1040 (10.5%)
"May 13, 2025",Thermax,Prabhudas Lilladher,3321.15,3629 (6%)
"May 13, 2025",Vijaya Diagnost,Emkay Global Financial Services,970,1150 (23.6%)
"May 13, 2025",Bajaj Electric,Prabhudas Lilladher,611.75,641 (-4.1%)
"May 12, 2025",Dr Reddys Labs,Prabhudas Lilladher,1195.35,1225 (-7.5%)
"May 12, 2025",Britannia,Emkay Global Financial Services,5608.7,5500 (-1.5%)
"May 12, 2025",Supreme Ind,Geojit Financial Services,3578.6,4107 (-8%)
"May 12, 2025",SJS Enterprises,LKP Securities Limited,1060.5,1406 (13.4%)
"May 11, 2025",Swiggy,Anand Rathi,313.2,400 (2.6%)
"May 10, 2025",Navin Fluorine,Prabhudas Lilladher,4589.95,5161 (10.1%)
"May 10, 2025",Grindwell Norto,Prabhudas Lilladher,1614.4,1716 (3.6%)
"May 09, 2025",Zee Entertain,Prabhudas Lilladher,115.85,137 (2.9%)
"May 08, 2025",Zee Entertain,Motilal Oswal,111.1,125 (-6%)
"May 08, 2025",Escorts Kubota,Motilal Oswal,3191.9,3227
"May 08, 2025",United Brewerie,Motilal Oswal,2166.25,2000 (2.8%)
"May 08, 2025",Asian Paints,Motilal Oswal,2302.5,2500 (9.3%)
"May 08, 2025",Canara Bank,Emkay Global Financial Services,95.38,120 (11.9%)
"May 08, 2025",Godrej Consumer,AnandRathi,1239.85,1430 (20.2%)
"May 08, 2025",Voltas,Prabhudas Lilladher,1224.3,1516 (17.1%)
"May 08, 2025",Titan Company,Prabhudas Lilladher,3363.45,3752 (6.6%)
"May 01, 2025",Bharat Forge,Motilal Oswal,1104.4,1090 (-14.7%)
